,ID,lat,lon,start_date,incident name,fully_contained,geographic_area,new,size,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,rain,weather,weather_description
183,19615,42.652,-73.366,4/12/2023 12:00:00 AM,Richmond_Railroad,c,EACC,y,241.0,291.49,290.37,1011,38,276.94,97,,3.55,253,,Clouds,overcast clouds
184,19616,42.699,-77.582,4/14/2023 12:00:00 AM,Canadice_Lake,c,EACC,y,100.0,294.57,293.76,1011,38,279.68,0,10000.0,2.06,320,,Clear,clear sky
185,19617,41.402,-74.621,4/15/2023 12:00:00 AM,Shinhollow,c,EACC,y,300.0,299.18,299.18,1009,37,283.37,99,,3.72,200,,Clouds,overcast clouds
186,19620,38.921,-96.846,4/10/2023 12:00:00 AM,Otter_Creek,c,RMC,y,700.0,297.26,296.27,1020,21,273.59,75,10000.0,4.12,140,,Clouds,broken clouds
187,19621,38.857,-96.373,4/10/2023 12:00:00 AM,North_Pole,c,RMC,y,600.0,295.4,294.31,1020,24,273.88,91,,3.17,148,,Clouds,overcast clouds
188,19622,39.681,-97.928,4/12/2023 12:00:00 AM,Jamestown_Marsh_N,c,RMC,y,680.0,300.9,299.98,1014,28,280.75,0,,6.75,187,,Clear,clear sky
189,19624,35.803,-94.923,4/16/2023 12:00:00 AM,Rocky_Top,,SAC,y,230.0,285.94,284.68,1016,54,276.87,100,10000.0,6.69,320,,Clouds,overcast clouds
190,19626,34.395,-94.649,4/17/2023 12:00:00 AM,Buffalo,c,SAC,y,363.0,292.51,291.21,1020,27,273.07,0,,3.15,309,,Clear,clear sky
191,19627,35.726,-97.352,4/17/2023 12:00:00 AM,Waterloo_Road,,SAC,y,350.0,292.57,291.14,1020,22,270.65,0,10000.0,3.6,330,,Clear,clear sky
192,19628,35.55,-96.089,4/17/2023 12:00:00 AM,Salt_Creek,,SAC,y,1000.0,292.29,290.68,1020,16,266.7,0,10000.0,4.63,320,,Clear,clear sky
193,19629,47.88,-95.245,4/17/2023 12:00:00 AM,RL_009_CB,c,EACC,y,658.0,277.04,272.37,1015,59,270.16,94,,6.65,6,,Clouds,overcast clouds
194,19630,41.867,-99.933,4/18/2023 12:00:00 AM,Cooksley,c,RMC,y,40000.0,294.59,293.47,1005,26,274.31,33,,4.7,118,,Clouds,scattered clouds
195,19632,38.877,-96.492,4/18/2023 12:00:00 AM,Cedar_Bluff,c,RMC,y,350.0,297.05,296.2,1006,27,276.93,0,,2.62,180,,Clear,clear sky
196,19633,39.694,-96.473,4/19/2023 12:00:00 AM,Mariadahl,c,RMC,y,300.0,300.33,299.99,1000,37,284.39,95,,6.41,161,,Clouds,overcast clouds
197,19634,36.47,-96.122,4/15/2023 12:00:00 AM,BULLYS,c,SAC,y,426.0,300.35,300.63,1002,48,288.39,65,,6.3,176,,Clouds,broken clouds
198,19635,35.782,-87.865,4/15/2023 12:00:00 AM,Crooked_Creek_Road,c,SAC,y,101.0,293.11,292.81,1010,63,285.86,6,,2.69,194,,Clear,clear sky
199,19636,36.254,-96.015,4/17/2023 12:00:00 AM,182,,SAC,y,215.0,291.89,290.37,1020,21,269.59,0,10000.0,5.66,300,,Clear,clear sky
200,19640,36.07,-92.589,4/19/2023 12:00:00 AM,Saltpeter,,SAC,y,170.0,297.61,296.95,1010,32,279.86,57,,4.13,186,,Clouds,broken clouds
201,19642,38.283,-83.046,4/19/2023 12:00:00 AM,Aden_Road,c,SAC,y,128.0,290.95,289.99,1020,46,279.19,12,,3.03,263,,Clouds,few clouds
202,19644,47.88,-95.245,4/17/2023 12:00:00 AM,RL_009_CB,c,EACC,y,658.0,277.04,272.37,1015,59,270.16,94,,6.65,6,,Clouds,overcast clouds
203,19647,41.867,-99.933,4/18/2023 12:00:00 AM,Cooksley,c,RMC,y,40000.0,294.59,293.47,1005,26,274.31,33,,4.7,118,,Clouds,scattered clouds
204,19648,38.877,-96.492,4/18/2023 12:00:00 AM,Cedar_Bluff,c,RMC,y,350.0,297.05,296.2,1006,27,276.93,0,,2.62,180,,Clear,clear sky
205,19649,39.694,-96.473,4/19/2023 12:00:00 AM,Mariadahl,c,RMC,y,300.0,300.33,299.99,1000,37,284.39,95,,6.41,161,,Clouds,overcast clouds
206,19651,30.983,-94.45,4/17/2023 12:00:00 AM,Sandy_Creek,c,SAC,y,141.0,294.77,294.06,1022,41,280.97,0,,2.14,327,,Clear,clear sky
207,19652,30.962,-87.633,4/18/2023 12:00:00 AM,BALDWIN__FIRE,c,SAC,y,205.0,294.31,293.55,1016,41,280.55,0,,2.07,302,,Clear,clear sky
208,19654,34.778,-96.184,4/20/2023 12:00:00 AM,Tower_Ridge_Road_Fire,c,SAC,y,254.0,298.05,298.53,1006,74,293.1,99,,7.49,165,,Clouds,overcast clouds
209,19659,36.128,-95.3,4/18/2023 12:00:00 AM,South_Fork,c,SAC,,622.0,297.46,296.73,1011,30,278.79,77,,4.3,185,,Clouds,broken clouds
210,19660,37.278,-82.69,4/19/2023 12:00:00 AM,Rockhouse_Fork,c,SAC,,730.0,293.31,292.56,1014,45,281.01,27,,1.98,286,,Clouds,scattered clouds
211,19661,27.373,-82.2,4/19/2023 12:00:00 AM,OGLEBEE_CREEK,c,SAC,,191.0,297.28,297.03,1015,49,285.91,0,,1.89,60,,Clear,clear sky
212,19662,37.774,-83.686,4/19/2023 12:00:00 AM,Natural_Bridge,c,SAC,,125.0,292.68,291.92,1014,47,281.08,37,,1.19,346,,Clouds,scattered clouds
213,19663,36.536,-96.52,4/18/2023 12:00:00 AM,THIRD_GOAT,c,SAC,,577.0,299.06,298.31,1008,23,276.36,83,,5.67,179,,Clouds,broken clouds
214,19665,39.68,-74.359,4/15/2023 12:00:00 AM,Log_Swamp,,EACC,,1609.0,289.42,289.17,1010,79,285.78,96,,2.24,155,,Clouds,overcast clouds
215,19666,42.363,-71.661,4/15/2023 12:00:00 AM,Mt_Pisgah,c,EACC,,115.0,291.12,290.43,1011,56,282.22,87,,3.34,94,,Clouds,overcast clouds
216,19667,39.608,-74.553,4/20/2023 12:00:00 AM,River_Road_-_A,c,EACC,,257.0,286.63,285.34,1019,50,276.42,0,10000.0,4.63,190,,Clear,clear sky
217,19670,39.111,-99.195,4/13/2023 12:00:00 AM,Codell_Road,,RMC,,525.0,302.07,301.01,1004,31,283.26,0,,9.44,175,,Clear,clear sky
218,19671,42.117,-96.299,4/16/2023 12:00:00 AM,NE-WIA-000001,c,RMC,,605.0,278.95,274.45,1017,71,274.11,98,,7.71,331,,Clouds,overcast clouds
219,19672,40.117,-97.063,4/12/2023 12:00:00 AM,Rock_Creek,c,RMC,,1800.0,301.23,300.17,1014,27,280.5,0,,7.08,195,,Clear,clear sky
220,19673,39.828,-97.297,4/13/2023 12:00:00 AM,Haddam,c,RMC,,500.0,302.42,300.95,1005,24,279.79,6,,7.93,176,,Clear,clear sky
221,19680,36.446,-96.124,4/24/2023 12:00:00 AM,DRY_HOLLOW,c,SAC,y,450.0,289.93,288.34,1014,26,270.66,0,,1.53,127,,Clear,clear sky
222,19681,30.387,-88.11,4/19/2023 12:00:00 AM,Mobile_Fire,c,SAC,y,520.0,293.24,292.69,1017,53,283.37,100,,2.03,175,,Clouds,overcast clouds
223,19682,37.432,-83.248,4/21/2023 12:00:00 AM,Hardshell_Caney,c,SAC,y,105.0,298.96,298.07,1018,18,272.9,0,10000.0,3.26,191,,Clear,clear sky
224,19683,35.809,-95.817,4/22/2023 12:00:00 AM,Highline_2_Fire,c,SAC,y,332.0,292.71,291.3,1015,22,270.75,0,10000.0,2.06,350,,Clear,clear sky
225,19684,40.807,-78.194,4/20/2023 12:00:00 AM,Pool_Hollow,c,EACC,y,1542.0,285.94,284.66,1018,53,276.61,0,,1.88,287,,Clear,clear sky
226,19685,38.651,-82.344,4/19/2023 12:00:00 AM,Crown_City,c,EACC,y,274.0,290.19,288.92,1014,37,275.41,0,,3.13,271,,Clear,clear sky
